El tamaño del palíndromo será de 3701

P; inicio 
0P0; P ->  0P0
01P10; P ->  1P1
010P010; P ->  0P0
0100P0010; P ->  0P0
01001P10010; P ->  1P1
010010P010010; P ->  0P0
0100100P0010010; P ->  0P0
01001001P10010010; P ->  1P1
010010011P110010010; P ->  1P1
0100100111P1110010010; P ->  1P1
01001001111P11110010010; P ->  1P1
010010011111P111110010010; P ->  1P1
0100100111111P1111110010010; P ->  1P1
01001001111110P01111110010010; P ->  0P0
010010011111100P001111110010010; P ->  0P0
0100100111111000P0001111110010010; P ->  0P0
01001001111110000P00001111110010010; P ->  0P0
010010011111100000P000001111110010010; P ->  0P0
0100100111111000000P0000001111110010010; P ->  0P0
01001001111110000000P00000001111110010010; P ->  0P0
010010011111100000000P000000001111110010010; P ->  0P0
0100100111111000000000P0000000001111110010010; P ->  0P0
01001001111110000000001P10000000001111110010010; P ->  1P1
010010011111100000000011P110000000001111110010010; P ->  1P1
0100100111111000000000110P0110000000001111110010010; P ->  0P0
01001001111110000000001100P00110000000001111110010010; P ->  0P0
010010011111100000000011000P000110000000001111110010010; P ->  0P0
0100100111111000000000110000P0000110000000001111110010010; P ->  0P0
01001001111110000000001100000P00000110000000001111110010010; P ->  0P0
010010011111100000000011000001P100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011P1100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110P01100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101P101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011P1101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110P01101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100P001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000P0001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000P00001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000P000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000P0000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001P10000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011P110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110P0110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100P00110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001P100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011P1100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110P01100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100P001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001P1001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010P01001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101P101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011P1101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111P11101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111P111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110P0111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100P00111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001P100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010P0100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100P00100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000P000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001P1000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010P01000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101P101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010P0101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100P00101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001P100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011P1100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110P01100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100P001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001P1001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011P11001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111P111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111P1111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110P01111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100P001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001P1001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011P11001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111P111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111P1111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110P01111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100P001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000P0001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000P00001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001P100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010P0100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100P00100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000P000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001P1000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010P01000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101P101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010P0101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100P00101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000P000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001P1000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011P11000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110P011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101P1011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010P01011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100P001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000P0001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
